status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
9.33541E+17,11/23/2017 3:42,66379182,NYCTSubway,Q train service has resumed. https://t.co/lMoSFgP03e,Oracle Engage,9.33539E+17,66379182,NYCTSubway,TRUE,FALSE,5,5,NA,NA,twitter.com/NYCTSubway/sta…,https://t.co/lMoSFgP03e,https://twitter.com/NYCTSubway/status/933538934642151424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,9.33539E+17,Southbound Q trains are running with delays because of a train with mechanical problems at 14 St-Union Sq.,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33539E+17,11/23/2017 3:33,66379182,NYCTSubway,Southbound Q trains are running with delays because of a train with mechanical problems at 14 St-Union Sq.,GMS Web Pro App,NA,NA,NA,FALSE,FALSE,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33537E+17,11/23/2017 3:24,66379182,NYCTSubway,"@key2urlex Correction, leaving from 63 Dr a 71 Av bound R train to 71 Av and transfer to a Manhattan bound R train to Steinway St.^EE",Oracle Engage,9.33535E+17,408124715,key2urlex,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408124715,key2urlex,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33536E+17,11/23/2017 3:21,66379182,NYCTSubway,@key2urlex Apologies. Take a Manhattan bound R train to Queens Plaza and transfer to a 71 Av bound R train to 63 Dr.^EE,Oracle Engage,9.33535E+17,408124715,key2urlex,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408124715,key2urlex,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33535E+17,11/23/2017 3:17,66379182,NYCTSubway,@key2urlex Good evening. You can take the R train from Steinway St to 63 Dr.^EE,Oracle Engage,9.33531E+17,408124715,key2urlex,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408124715,key2urlex,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33534E+17,11/23/2017 3:12,66379182,NYCTSubway,N train service has resumed. https://t.co/gidMp5sxIm,Oracle Engage,9.3353E+17,66379182,NYCTSubway,TRUE,FALSE,4,3,NA,NA,twitter.com/NYCTSubway/sta…,https://t.co/gidMp5sxIm,https://twitter.com/NYCTSubway/status/933530103308578816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,9.3353E+17,Northbound N trains are running with delays because of a sick passenger at 59 St (BKLYN).,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33533E+17,11/23/2017 3:10,66379182,NYCTSubway,6 train service has resumed. https://t.co/60jFvQnCmq,Oracle Engage,9.33531E+17,66379182,NYCTSubway,TRUE,FALSE,4,3,NA,NA,twitter.com/NYCTSubway/sta…,https://t.co/60jFvQnCmq,https://twitter.com/NYCTSubway/status/933530720600981505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,9.33531E+17,Southbound 6 trains are running with delays because of an NYPD investigation at Lexington-59 St.,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33531E+17,11/23/2017 3:00,66379182,NYCTSubway,Southbound 6 trains are running with delays because of an NYPD investigation at Lexington-59 St.,GMS Web Pro App,NA,NA,NA,FALSE,FALSE,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.3353E+17,11/23/2017 2:58,66379182,NYCTSubway,Northbound N trains are running with delays because of a sick passenger at 59 St (BKLYN).,GMS Web Pro App,NA,NA,NA,FALSE,FALSE,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33527E+17,11/23/2017 2:45,66379182,NYCTSubway,@LibrarianPince Good Evening. Panned work on the line began at 9:30 pm. For more info see https://t.co/w2BAbtaLKe,Oracle Engage,9.33525E+17,429240360,LibrarianPince,FALSE,FALSE,0,0,NA,NA,mta.info/status/subway/…,https://t.co/w2BAbtaLKe,http://www.mta.info/status/subway/NQR/25190078,NA,NA,NA,NA,NA,NA,NA,NA,429240360,LibrarianPince,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33525E+17,11/23/2017 2:39,66379182,NYCTSubway,@LibrarianPince Are you inquiring about the N train running local? ^MB,Oracle Engage,9.33523E+17,429240360,LibrarianPince,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429240360,LibrarianPince,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33516E+17,11/23/2017 2:00,66379182,NYCTSubway,@NoodleShak We appreciate the positive feedback. Happy Holidays! ^JL,Oracle Engage,9.33512E+17,191176231,NoodleShak,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191176231,NoodleShak,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33513E+17,11/23/2017 1:51,66379182,NYCTSubway,G trains have resumed service. https://t.co/8mTbsi8vIo,Oracle Engage,9.3351E+17,66379182,NYCTSubway,TRUE,FALSE,3,3,NA,NA,twitter.com/NYCTSubway/sta…,https://t.co/8mTbsi8vIo,https://twitter.com/NYCTSubway/status/933510044515266561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,9.3351E+17,Southbound G trains are running with delays because of a sick passenger at Nassau Av,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.3351E+17,11/23/2017 1:38,66379182,NYCTSubway,Southbound G trains are running with delays because of a sick passenger at Nassau Av,GMS Web Pro App,NA,NA,NA,FALSE,FALSE,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33509E+17,11/23/2017 1:33,66379182,NYCTSubway,R train service has resumed. https://t.co/ikAPJJ3rS6,Oracle Engage,9.33507E+17,66379182,NYCTSubway,TRUE,FALSE,3,3,NA,NA,twitter.com/NYCTSubway/sta…,https://t.co/ikAPJJ3rS6,https://twitter.com/NYCTSubway/status/933506555739279360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,9.33507E+17,Southbound R trains are stopping along the Q line from Canal St to DeKalb Av because of NYPD investigation at Whitehall St.,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33508E+17,11/23/2017 1:32,66379182,NYCTSubway,@atheatrephile Good evening. It has been reported there was sick passenger. The passenger was removed from a northbound F train. Your train should be moving shortly. ^MB,Oracle Engage,9.33506E+17,3266892283,atheatrephile,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3266892283,atheatrephile,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33507E+17,11/23/2017 1:24,66379182,NYCTSubway,Southbound R trains are stopping along the Q line from Canal St to DeKalb Av because of NYPD investigation at Whitehall St.,GMS Web Pro App,NA,NA,NA,FALSE,FALSE,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33492E+17,11/23/2017 0:27,66379182,NYCTSubway,Franklin shuttle train service has resumed following an earlier incident involving a train with mechanical problems at Park Pl.,GMS Web Pro App,NA,NA,NA,FALSE,FALSE,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
9.33485E+17,11/23/2017 0:00,66379182,NYCTSubway,If you’re heading to the #MacysParade be sure to use Trip Planner+ and check the “service status” box for updates. For more information: https://t.co/NuwP1g8TLP https://t.co/6oUXdTgnio,TweetDeck,NA,NA,NA,FALSE,FALSE,5,3,MacysParade,NA,web.mta.info/nyct/service/e…,https://t.co/NuwP1g8TLP,http://web.mta.info/nyct/service/events/ThanksgivingHolidayEvents_ParadeNovember2017.htm,http://pbs.twimg.com/tweet_video_thumb/DPKiaVfX4AACp4y.jpg,https://t.co/6oUXdTgnio,https://twitter.com/NYCTSubway/status/933485249551515648/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DPKiaVfX4AACp4y.jpg,https://t.co/6oUXdTgnio,https://twitter.com/NYCTSubway/status/933485249551515648/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
